filename,geom_number,geom_max_strength,geom_energy_eV,geom_energy_nm,mode_num,modal_frequency_cm,m_displacement,m_frequency_rad,m_mass
Geometry-186-.log,186,1.7551962558,3.1958,388.00926215658046,4,11.7471,-5.4123,217784478985491.12,2.138608229616e-27
Geometry-242-.log,242,0.8106239345,3.2269,384.2697325606619,2,8.6795,7.3103,282720918021426.4,4.2798733216960005e-27
Geometry-187-.log,187,1.3148987166,2.9184,424.890350877193,4,11.7471,-5.7601,220118775353762.97,2.6417515587360003e-27
Geometry-188-.log,188,1.6017399138,3.2556,380.88217225703403,2,8.6795,-4.5435,220134503844350.0,2.655035871056e-27
Geometry-243-.log,243,1.5096835968,3.0134,411.49532089998013,2,8.6795,-5.3043,284424775046635.6,5.971630495648e-27
Geometry-189-.log,189,1.3688403566,3.0401,407.8813196934312,2,8.6795,5.8367,220508408680460.8,1.906132764016e-27
Geometry-316-.log,316,1.8143114972,2.8033,442.3358184996254,1,7.3072,8.9174,nan,nan
Geometry-190-.log,190,1.5810471352,3.0728,403.540744597761,1,7.3072,-2.3814,221227982415688.47,2.790369802816e-27
Geometry-244-.log,244,1.3318024991,2.8164,440.2783695497799,2,8.6795,-6.7512,284448622075477.7,5.9752836815359985e-27
Geometry-191-.log,191,1.471564156,2.9246,423.9896054161253,2,8.6795,6.1585,221241054957565.6,2.72992618176e-27
Geometry-407-.log,407,1.6320552437,2.9866,415.1878390142637,2,8.6795,4.5584,nan,nan
Geometry-192-.log,192,1.3330428612,3.0396,407.94841426503484,2,8.6795,5.4839,221443773539239.3,1.8543239459680002e-27
Geometry-245-.log,245,1.1896092429,3.0022,413.0304443408167,4,11.7471,-3.4133,284839630467819.7,5.3733382795360006e-27
Geometry-193-.log,193,1.4481748933,3.2933,376.52202957519813,3,9.7237,7.8319,221481747954836.3,1.863290856784e-27
Geometry-317-.log,317,1.4666494409,2.8049,442.08349673785165,2,8.6795,-8.0842,nan,nan
Geometry-194-.log,194,1.7088468489,2.9822,415.80041580041575,1,7.3072,3.6485,221493294738943.97,1.873420144928e-27
Geometry-246-.log,246,1.3762232086,3.1198,397.4613757292134,3,9.7237,3.0201,287301789104480.44,7.781618049248001e-27
Geometry-195-.log,195,1.5169209601,3.0183,410.8272868833449,4,11.7471,-3.2021,222714126992748.1,4.60716556648e-27
Geometry-196-.log,196,0.8774891493,3.2174,385.4043637719898,3,9.7237,-7.2407,223729660062231.3,1.9272216098240003e-27
Geometry-247-.log,247,1.3185534852,3.0198,410.6232200808,3,9.7237,5.3222,287306102666569.6,7.782282264864e-27
Geometry-197-.log,197,1.0585447657,2.879,430.7051059395624,3,9.7237,3.2231,223755032848843.0,1.929878472288e-27
Geometry-215-.log,215,1.317169188,3.0309,409.11940347751494,2,8.6795,3.9909,249427960501228.25,2.9054451582880003e-27
Geometry-318-.log,318,1.4037659591,2.9934,414.2446716108773,2,8.6795,-6.1184,nan,nan
Geometry-216-.log,216,1.1492616661,2.8456,435.7604723081248,2,8.6795,6.6967,253305513762080.53,4.281035699024e-27
Geometry-408-.log,408,1.0804280552,3.1092,398.81641579827607,1,7.3072,7.0201,nan,nan
Geometry-217-.log,217,1.0240805619,3.0534,406.10467020370737,1,7.3072,7.6739,253376150695854.62,5.3881170769920004e-27
Geometry-319-.log,319,1.1994417788,3.1676,391.46356863240305,4,11.7471,4.3845,nan,nan
Geometry-218-.log,218,1.359213587,2.8719,431.76990842299523,1,7.3072,-6.7407,253384928512158.28,5.32866977936e-27
Geometry-219-.log,219,1.212022088,3.0109,411.83699226145006,3,9.7237,-1.5142,255813595823952.25,6.834778688639998e-27
Geometry-320-.log,320,1.2881430225,3.0749,403.2651468340434,4,11.7471,3.9882,nan,nan
Geometry-220-.log,220,1.1861972447,3.0693,404.00091226012444,1,7.3072,8.2545,255826875567501.75,5.6702426598879996e-27
Geometry-409-.log,409,0.9232818375,2.32,534.4827586206897,3,9.7237,6.6281,nan,nan
Geometry-221-.log,221,1.4183087866,3.2191,385.2008325308316,2,8.6795,6.3159,255884082065600.9,5.219738418336e-27
Geometry-321-.log,321,1.7154022977,2.8689,432.22140890236676,1,7.3072,-6.391,nan,nan
Geometry-222-.log,222,1.5838454951,3.0884,401.50239606268616,2,8.6795,4.316,255904067608730.1,4.7778689797920006e-27
Geometry-223-.log,223,1.0924218619,3.1915,388.53203822653927,3,9.7237,-4.864,255966228110451.3,5.6561280780479996e-27
Geometry-322-.log,322,1.0033859201,3.2386,382.8814920027172,1,7.3072,5.3941,nan,nan
Geometry-224-.log,224,1.0195212705,3.2656,379.7158255756982,2,8.6795,-6.9034,257170578413041.6,5.6923278291200005e-27
Geometry-410-.log,410,1.6257753752,3.3388,371.39091889301545,4,11.7471,4.3778,nan,nan
Geometry-248-.log,248,1.8411654198,2.8003,442.80969896082564,1,7.3072,-6.8792,289558158807412.7,7.556116847615999e-27
Geometry-329-.log,329,0.9500532146,3.3363,371.66921439918474,1,7.3072,-5.8671,nan,nan
Geometry-249-.log,249,1.7029284917,3.1254,396.74921610033914,3,9.7237,2.9966,290034176394987.3,5.77701532016e-27
Geometry-411-.log,411,0.9898123336,3.174,390.67422810333966,6,18.2348,2.6754,nan,nan
Geometry-250-.log,250,0.6404922395,3.1941,388.21577283115744,1,7.3072,7.2307,290088124175875.0,5.7869785543999986e-27
Geometry-330-.log,330,0.9322473337,3.113,398.32958560873755,1,7.3072,3.9963,nan,nan
Geometry-251-.log,251,1.1724834466,3.2314,383.7346041963236,3,9.7237,7.1724,290133068102271.0,5.6938223142560005e-27
Geometry-252-.log,252,1.5455067421,2.7376,452.9514903565167,2,8.6795,6.9772,293699837691033.0,5.8912604061119996e-27
Geometry-331-.log,331,1.207700518,3.3172,373.80923670565534,1,7.3072,3.514,nan,nan
Geometry-253-.log,253,1.2705416497,2.8052,442.03621845144727,5,17.7354,-5.3938,293725210477644.7,5.886278788992e-27
Geometry-412-.log,412,1.8473020152,3.03,409.2409240924093,3,9.7237,4.7447,nan,nan
Geometry-254-.log,254,0.8829441421,2.9841,415.5356723970376,3,9.7237,-3.695,293931432651233.6,5.8107242626719986e-27
Geometry-332-.log,332,1.1010315355,3.1163,397.90777524628567,2,8.6795,-6.7151,nan,nan
Geometry-255-.log,255,1.3829428052,2.9097,426.16077258823935,2,8.6795,7.294,295189824917290.0,1.2954031104944002e-26
Geometry-256-.log,256,1.1540588755,3.0724,403.5932821247233,4,11.7471,5.077,295195532381538.94,1.2962499854048002e-26
Geometry-333-.log,333,1.3415775249,3.1819,389.7042647474779,3,9.7237,-2.7027,nan,nan
Geometry-257-.log,257,1.4978880715,2.9556,419.5425632697253,3,9.7237,-3.7394,303732693360958.8,2.0256417587248002e-26
Geometry-413-.log,413,1.1986324641,3.0194,410.6776180698152,2,8.6795,4.4956,nan,nan
Geometry-258-.log,258,1.2466633742,2.9149,425.400528320011,2,8.6795,7.0,308884668762705.25,1.2819195334896001e-26
Geometry-334-.log,334,1.4683231411,2.9231,424.2071773117581,1,7.3072,-5.9955,nan,nan
Geometry-259-.log,259,0.9313831857,3.1797,389.9738969085134,5,17.7354,-3.2509,309307209482284.0,1.2670577090816001e-26
Geometry-260-.log,260,1.5065541026,3.0334,408.7822245664931,2,8.6795,-7.7437,309317607238935.5,1.2670411036911999e-26
Geometry-335-.log,335,0.9679317165,2.8737,431.4994606256742,1,7.3072,-4.5496,nan,nan
Geometry-261-.log,261,1.6025130419,2.9539,419.78401435390504,1,7.3072,4.0835,312330055844469.9,1.1572462623664e-26
Geometry-414-.log,414,1.4531111694,3.121,397.30855495033643,4,11.7471,4.6928,nan,nan
Geometry-262-.log,262,1.3220123651,3.1296,396.21676891615544,2,8.6795,4.0471,312390916626609.6,1.1569473653392e-26
Geometry-336-.log,336,1.5171108976,3.0582,405.46726832777455,4,11.7471,5.8992,nan,nan
Geometry-263-.log,263,0.9893520875,2.9184,424.890350877193,2,8.6795,-4.6698,312394363708977.8,1.1575451593936e-26
Geometry-264-.log,264,0.7762370828,3.2314,383.7346041963236,1,7.3072,6.133,314381314728237.9,1.1389305167552e-26
Geometry-337-.log,337,1.3551657635,3.2736,378.78787878787875,5,17.7354,1.929,nan,nan
Geometry-265-.log,265,1.6501000989,3.0206,410.5144673243727,3,9.7237,-2.9049,314507425200669.2,1.1339488996351999e-26
Geometry-415-.log,415,1.5941287304,2.871,431.9052594914664,4,11.7471,-3.9186,nan,nan
Geometry-266-.log,266,0.5261104788,3.1818,389.71651266578664,5,17.7354,6.0063,314543760839402.56,1.1358917303119998e-26
Geometry-338-.log,338,0.7508860436,3.118,397.69082745349584,1,7.3072,7.7094,nan,nan
Geometry-267-.log,267,1.6244251698,2.9008,427.46828461114177,4,11.7471,-8.8396,315339396424918.2,1.3098165893616e-26
Geometry-268-.log,268,1.218622472,3.1667,391.5748255281523,2,8.6795,6.1435,315618911480991.1,1.2107322248448001e-26
Geometry-339-.log,339,0.7717563974,3.0473,406.9175991861648,2,8.6795,-4.2376,nan,nan
Geometry-269-.log,269,1.4388967191,3.0826,402.2578342957244,2,8.6795,-6.9261,315637408939382.1,1.2107488302351997e-26
Geometry-416-.log,416,1.4179264243,3.2612,380.22813688212926,3,9.7237,-3.3768,nan,nan
Geometry-270-.log,270,1.2852192216,3.0568,405.6529704265899,1,7.3072,-6.1472,316297704159786.56,1.8266261547808e-26
Geometry-340-.log,340,1.4320050389,3.2305,383.841510602074,4,11.7471,3.5781,nan,nan
